image_id,filename,original_score,operations,post_status,post_score,score_delta,degradation_detected,degradation_reasons,final_status,final_directive
aptos_50915e2329a1,aptos_50915e2329a1.png,0.8134,bilateral_denoising; gamma_correction,NON-CRITICAL,0.8229,0.0095,False,None,NON-CRITICAL,OK TO GO
aptos_51d574513bcb,aptos_51d574513bcb.png,0.8147,illumination_normalization,NON-CRITICAL,0.7716,-0.0431,True,"Severe degradation in contrast (1.000 -> 0.418, delta=-0.582)",CRITICAL,RECAPTURE
aptos_541db13517e2,aptos_541db13517e2.png,0.7014,illumination_normalization; gamma_correction,NON-CRITICAL,0.8345,0.1331,False,None,NON-CRITICAL,OK TO GO
aptos_58b866484a05,aptos_58b866484a05.png,0.7719,gamma_correction,NON-CRITICAL,0.8482,0.0763,False,None,NON-CRITICAL,OK TO GO
aptos_5905a9b06a73,aptos_5905a9b06a73.png,0.7086,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.8877,0.1791,False,None,NON-CRITICAL,OK TO GO
aptos_5a179c123fd8,aptos_5a179c123fd8.png,0.6386,illumination_normalization; gamma_correction,NON-CRITICAL,0.8488,0.2102,False,None,NON-CRITICAL,OK TO GO
aptos_5b0e53f53ef3,aptos_5b0e53f53ef3.png,0.7492,bilateral_denoising; gamma_correction; CLAHE,NON-CRITICAL,0.9505,0.2013,False,None,NON-CRITICAL,OK TO GO
aptos_5baed382f062,aptos_5baed382f062.png,0.8013,CLAHE,NON-CRITICAL,0.9074,0.1061,False,None,NON-CRITICAL,OK TO GO
aptos_5d74f98d62be,aptos_5d74f98d62be.png,0.8005,illumination_normalization,NON-CRITICAL,0.8001,-0.0004,False,None,NON-CRITICAL,OK TO GO
aptos_5f13e8a07344,aptos_5f13e8a07344.png,0.7377,bilateral_denoising; CLAHE,NON-CRITICAL,0.8304,0.0927,False,None,NON-CRITICAL,OK TO GO
aptos_663a923d5398,aptos_663a923d5398.png,0.738,bilateral_denoising; gamma_correction; unsharp_masking,BORDERLINE,0.7951,0.0571,False,None,BORDERLINE,ENHANCEMENT
aptos_668e853258cd,aptos_668e853258cd.png,0.7515,illumination_normalization; gamma_correction; unsharp_masking,NON-CRITICAL,0.8012,0.0497,False,None,NON-CRITICAL,OK TO GO
aptos_682312e82ee3,aptos_682312e82ee3.png,0.7302,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.869,0.1388,False,None,NON-CRITICAL,OK TO GO
aptos_6987804eb464,aptos_6987804eb464.png,0.7527,gamma_correction,NON-CRITICAL,0.8102,0.0575,False,None,NON-CRITICAL,OK TO GO
aptos_6c4ec95dd8ba,aptos_6c4ec95dd8ba.png,0.7434,illumination_normalization; gamma_correction; CLAHE; unsharp_masking,BORDERLINE,0.8559,0.1125,True,"Dimension noise dropped below non-critical threshold (1.000 -> 0.000, delta=-1.000)",CRITICAL,RECAPTURE
aptos_6d9effbcde78,aptos_6d9effbcde78.png,0.7389,gamma_correction; CLAHE,NON-CRITICAL,0.9336,0.1947,False,None,NON-CRITICAL,OK TO GO
aptos_6daef3e5ca22,aptos_6daef3e5ca22.png,0.7343,illumination_normalization; gamma_correction,NON-CRITICAL,0.7998,0.0655,False,None,NON-CRITICAL,OK TO GO
aptos_6e0f78e188ff,aptos_6e0f78e188ff.png,0.7672,bilateral_denoising; glare_attenuation,BORDERLINE,0.7232,-0.044,True,"Dimension focus dropped below non-critical threshold (0.688 -> 0.319, delta=-0.369)",CRITICAL,RECAPTURE
aptos_720b5f62ce80,aptos_720b5f62ce80.png,0.7793,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.7917,0.0124,False,None,NON-CRITICAL,OK TO GO
aptos_77543f66a84a,aptos_77543f66a84a.png,0.748,bilateral_denoising,CRITICAL,0.782,0.034,True,"Triggered hard failure: Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=15.25, Tenengrad=311.0)",CRITICAL,RECAPTURE
aptos_77e15f213b04,aptos_77e15f213b04.png,0.8081,bilateral_denoising; gamma_correction,NON-CRITICAL,0.8082,0.0001,False,None,NON-CRITICAL,OK TO GO
aptos_7b49041cbf17,aptos_7b49041cbf17.png,0.8088,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.9071,0.0983,False,None,NON-CRITICAL,OK TO GO
aptos_7da558d92100,aptos_7da558d92100.png,0.795,CLAHE,NON-CRITICAL,0.9124,0.1174,False,None,NON-CRITICAL,OK TO GO
aptos_7f6690fa390a,aptos_7f6690fa390a.png,0.7697,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.791,0.0213,False,None,NON-CRITICAL,OK TO GO
aptos_80feb1f7ca5e,aptos_80feb1f7ca5e.png,0.7885,bilateral_denoising; CLAHE,NON-CRITICAL,0.9214,0.1329,False,None,NON-CRITICAL,OK TO GO
aptos_82910bba4753,aptos_82910bba4753.png,0.7431,bilateral_denoising; gamma_correction; glare_attenuation,BORDERLINE,0.7749,0.0318,False,None,BORDERLINE,ENHANCEMENT
aptos_82d364726a58,aptos_82d364726a58.png,0.7816,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.8128,0.0312,False,None,NON-CRITICAL,OK TO GO
aptos_838b3e4d0bb4,aptos_838b3e4d0bb4.png,0.786,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.8556,0.0696,False,None,NON-CRITICAL,OK TO GO
aptos_83d6e40c869f,aptos_83d6e40c869f.png,0.7948,CLAHE,NON-CRITICAL,0.9147,0.1199,False,None,NON-CRITICAL,OK TO GO
aptos_878a3a097436,aptos_878a3a097436.png,0.7885,bilateral_denoising; CLAHE,NON-CRITICAL,0.9214,0.1329,False,None,NON-CRITICAL,OK TO GO
aptos_891392c9683c,aptos_891392c9683c.png,0.7282,gamma_correction; CLAHE; unsharp_masking,BORDERLINE,0.8768,0.1486,True,"Dimension noise dropped below non-critical threshold (1.000 -> 0.000, delta=-1.000)",CRITICAL,RECAPTURE
aptos_8aab201c0691,aptos_8aab201c0691.png,0.8057,CLAHE,NON-CRITICAL,0.9115,0.1058,False,None,NON-CRITICAL,OK TO GO
aptos_8bdb891661a8,aptos_8bdb891661a8.png,0.6769,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.8232,0.1463,False,None,NON-CRITICAL,OK TO GO
aptos_8d62ba9cb22a,aptos_8d62ba9cb22a.png,0.6912,illumination_normalization; gamma_correction,NON-CRITICAL,0.8805,0.1893,False,None,NON-CRITICAL,OK TO GO
aptos_8d8aca52c07b,aptos_8d8aca52c07b.png,0.7575,bilateral_denoising; gamma_correction; glare_attenuation,BORDERLINE,0.7859,0.0284,False,None,BORDERLINE,ENHANCEMENT
aptos_8e6df9eedcd8,aptos_8e6df9eedcd8.png,0.8128,bilateral_denoising; glare_attenuation,BORDERLINE,0.7901,-0.0227,False,None,BORDERLINE,ENHANCEMENT
aptos_8ff863f8874f,aptos_8ff863f8874f.png,0.742,illumination_normalization; gamma_correction,NON-CRITICAL,0.8051,0.0631,False,None,NON-CRITICAL,OK TO GO
aptos_9287e57326d0,aptos_9287e57326d0.png,0.7569,bilateral_denoising; gamma_correction; glare_attenuation,CRITICAL,0.6721,-0.0848,True,"Critical dimension floor violated (min=0.198 < 0.2); Dimension brightness dropped below non-critical threshold (0.547 -> 0.198, delta=-0.349); Overall composite score decreased by -0.085",CRITICAL,RECAPTURE
aptos_94111ed3d276,aptos_94111ed3d276.png,0.8004,CLAHE,NON-CRITICAL,0.9314,0.131,False,None,NON-CRITICAL,OK TO GO
aptos_96d48b073f18,aptos_96d48b073f18.png,0.7785,gamma_correction,NON-CRITICAL,0.834,0.0555,False,None,NON-CRITICAL,OK TO GO
aptos_97da093947e8,aptos_97da093947e8.png,0.7875,CLAHE; unsharp_masking,NON-CRITICAL,0.941,0.1535,False,None,NON-CRITICAL,OK TO GO
aptos_97fdee242fea,aptos_97fdee242fea.png,0.7805,illumination_normalization; gamma_correction,NON-CRITICAL,0.8428,0.0623,False,None,NON-CRITICAL,OK TO GO
aptos_98277aeb96a7,aptos_98277aeb96a7.png,0.7311,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.913,0.1819,False,None,NON-CRITICAL,OK TO GO
aptos_9837048b85dc,aptos_9837048b85dc.png,0.8731,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.8323,-0.0408,True,"Severe degradation in contrast (1.000 -> 0.448, delta=-0.552)",CRITICAL,RECAPTURE
aptos_98e8adcf085c,aptos_98e8adcf085c.png,0.6777,bilateral_denoising; gamma_correction; CLAHE,NON-CRITICAL,0.9117,0.234,False,None,NON-CRITICAL,OK TO GO
aptos_9a9b21215c55,aptos_9a9b21215c55.png,0.7662,illumination_normalization; gamma_correction; unsharp_masking,NON-CRITICAL,0.7763,0.0101,False,None,NON-CRITICAL,OK TO GO
aptos_9b4fc15df3c8,aptos_9b4fc15df3c8.png,0.7791,gamma_correction,NON-CRITICAL,0.8583,0.0792,False,None,NON-CRITICAL,OK TO GO
aptos_9ba469af2980,aptos_9ba469af2980.png,0.742,illumination_normalization; gamma_correction,NON-CRITICAL,0.8442,0.1022,False,None,NON-CRITICAL,OK TO GO
aptos_9c088d2d1559,aptos_9c088d2d1559.png,0.7237,illumination_normalization; gamma_correction; CLAHE,NON-CRITICAL,0.8992,0.1755,False,None,NON-CRITICAL,OK TO GO
aptos_9c5dd3612f0c,aptos_9c5dd3612f0c.png,0.8756,bilateral_denoising,NON-CRITICAL,0.9066,0.031,False,None,NON-CRITICAL,OK TO GO
aptos_9d9bfefa809c,aptos_9d9bfefa809c.png,0.7773,gamma_correction; unsharp_masking,NON-CRITICAL,0.8691,0.0918,False,None,NON-CRITICAL,OK TO GO
aptos_9df31421cdd2,aptos_9df31421cdd2.png,0.7595,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.9145,0.155,False,None,NON-CRITICAL,OK TO GO
aptos_9f935fb38440,aptos_9f935fb38440.png,0.7262,bilateral_denoising; CLAHE,NON-CRITICAL,0.851,0.1248,False,None,NON-CRITICAL,OK TO GO
aptos_a0a0cd8af5a6,aptos_a0a0cd8af5a6.png,0.7825,illumination_normalization,NON-CRITICAL,0.8485,0.066,False,None,NON-CRITICAL,OK TO GO
aptos_a11c62cb3f86,aptos_a11c62cb3f86.png,0.7422,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.8932,0.151,False,None,NON-CRITICAL,OK TO GO
aptos_a188c60b93fb,aptos_a188c60b93fb.png,0.7512,bilateral_denoising; gamma_correction; glare_attenuation,BORDERLINE,0.7933,0.0421,False,None,BORDERLINE,ENHANCEMENT
aptos_a47878630dc2,aptos_a47878630dc2.png,0.7386,illumination_normalization; gamma_correction; unsharp_masking,NON-CRITICAL,0.8237,0.0851,False,None,NON-CRITICAL,OK TO GO
aptos_a6c9e96a10d7,aptos_a6c9e96a10d7.png,0.7395,bilateral_denoising,CRITICAL,0.778,0.0385,True,"Triggered hard failure: Severe Defocus Blur (NormLap=5.3 < 8.0, RawLap=13.44, Tenengrad=295.7)",CRITICAL,RECAPTURE
aptos_ab32db41c409,aptos_ab32db41c409.png,0.8275,bilateral_denoising; glare_attenuation,BORDERLINE,0.7952,-0.0323,True,"Severe degradation in focus (0.764 -> 0.442, delta=-0.322)",CRITICAL,RECAPTURE
aptos_ab7991df166b,aptos_ab7991df166b.png,0.6801,illumination_normalization; gamma_correction,NON-CRITICAL,0.7422,0.0621,True,"Severe degradation in contrast (1.000 -> 0.435, delta=-0.565)",CRITICAL,RECAPTURE
aptos_ac0a48ccbf70,aptos_ac0a48ccbf70.png,0.7465,illumination_normalization; gamma_correction,NON-CRITICAL,0.7699,0.0234,False,None,NON-CRITICAL,OK TO GO
aptos_ae20112e7a1e,aptos_ae20112e7a1e.png,0.7486,illumination_normalization; gamma_correction,NON-CRITICAL,0.7932,0.0446,False,None,NON-CRITICAL,OK TO GO
aptos_aef9016557ca,aptos_aef9016557ca.png,0.7557,CLAHE,NON-CRITICAL,0.8665,0.1108,False,None,NON-CRITICAL,OK TO GO
aptos_b0eeae01b8ab,aptos_b0eeae01b8ab.png,0.7333,bilateral_denoising,CRITICAL,0.7703,0.037,True,"Triggered hard failure: Severe Defocus Blur (NormLap=5.0 < 8.0, RawLap=12.70, Tenengrad=242.6)",CRITICAL,RECAPTURE
aptos_b191ba0a2b12,aptos_b191ba0a2b12.png,0.7198,gamma_correction; CLAHE; unsharp_masking,BORDERLINE,0.8707,0.1509,True,"Dimension noise dropped below non-critical threshold (1.000 -> 0.000, delta=-1.000)",CRITICAL,RECAPTURE
aptos_b3819a805dca,aptos_b3819a805dca.png,0.7606,bilateral_denoising; glare_attenuation,BORDERLINE,0.7176,-0.043,True,"Dimension focus dropped below non-critical threshold (0.690 -> 0.324, delta=-0.366)",CRITICAL,RECAPTURE
aptos_b73d0bcd3d33,aptos_b73d0bcd3d33.png,0.702,gamma_correction; CLAHE,BORDERLINE,0.8802,0.1782,True,"Dimension noise dropped below non-critical threshold (1.000 -> 0.000, delta=-1.000)",CRITICAL,RECAPTURE
aptos_b8e20c076b03,aptos_b8e20c076b03.png,0.8098,bilateral_denoising; glare_attenuation,BORDERLINE,0.7766,-0.0332,True,"Severe degradation in focus (0.765 -> 0.441, delta=-0.324)",CRITICAL,RECAPTURE
aptos_b9fe7da14a32,aptos_b9fe7da14a32.png,0.7379,illumination_normalization; gamma_correction,NON-CRITICAL,0.7841,0.0462,False,None,NON-CRITICAL,OK TO GO
aptos_be7bc89f5fec,aptos_be7bc89f5fec.png,0.7219,bilateral_denoising,CRITICAL,0.7603,0.0384,True,"Triggered hard failure: Severe Defocus Blur (NormLap=4.2 < 8.0, RawLap=10.83, Tenengrad=206.1)",CRITICAL,RECAPTURE
aptos_bf1b7e21e774,aptos_bf1b7e21e774.png,0.8289,CLAHE,NON-CRITICAL,0.9308,0.1019,False,None,NON-CRITICAL,OK TO GO
aptos_c1437a7a52c9,aptos_c1437a7a52c9.png,0.732,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.8752,0.1432,False,None,NON-CRITICAL,OK TO GO
aptos_c9f0dc2c8b43,aptos_c9f0dc2c8b43.png,0.8756,bilateral_denoising,NON-CRITICAL,0.9066,0.031,False,None,NON-CRITICAL,OK TO GO
aptos_ca1036496659,aptos_ca1036496659.png,0.7393,illumination_normalization; gamma_correction; CLAHE,NON-CRITICAL,0.9517,0.2124,False,None,NON-CRITICAL,OK TO GO
aptos_cb0cc98d7e35,aptos_cb0cc98d7e35.png,0.7744,bilateral_denoising; CLAHE,NON-CRITICAL,0.9333,0.1589,False,None,NON-CRITICAL,OK TO GO
aptos_cca626a0e19a,aptos_cca626a0e19a.png,0.8042,CLAHE,NON-CRITICAL,0.9279,0.1237,False,None,NON-CRITICAL,OK TO GO
aptos_cd01672507c9,aptos_cd01672507c9.png,0.7437,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.8969,0.1532,False,None,NON-CRITICAL,OK TO GO
aptos_cff262ed8f4c,aptos_cff262ed8f4c.png,0.7945,bilateral_denoising; glare_attenuation,BORDERLINE,0.7742,-0.0203,False,None,BORDERLINE,ENHANCEMENT
aptos_d1cf31577a59,aptos_d1cf31577a59.png,0.7581,gamma_correction; glare_attenuation; unsharp_masking,BORDERLINE,0.8237,0.0656,False,None,BORDERLINE,ENHANCEMENT
aptos_d57d1be1bbd1,aptos_d57d1be1bbd1.png,0.7938,bilateral_denoising; glare_attenuation,BORDERLINE,0.7483,-0.0455,True,"Dimension focus dropped below non-critical threshold (0.678 -> 0.304, delta=-0.374)",CRITICAL,RECAPTURE
aptos_d5ad3362424c,aptos_d5ad3362424c.png,0.7832,bilateral_denoising; gamma_correction; glare_attenuation,BORDERLINE,0.8084,0.0252,False,None,BORDERLINE,ENHANCEMENT
aptos_d7bc62d60e8c,aptos_d7bc62d60e8c.png,0.8201,bilateral_denoising,BORDERLINE,0.7786,-0.0415,True,"Severe degradation in focus (0.706 -> 0.347, delta=-0.358)",CRITICAL,RECAPTURE
aptos_d81338217fc5,aptos_d81338217fc5.png,0.7408,gamma_correction; CLAHE; unsharp_masking,BORDERLINE,0.872,0.1312,True,"Dimension noise dropped below non-critical threshold (1.000 -> 0.000, delta=-1.000)",CRITICAL,RECAPTURE
aptos_d93b61dc8f64,aptos_d93b61dc8f64.png,0.6864,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.9135,0.2271,False,None,NON-CRITICAL,OK TO GO
aptos_da9574d35b82,aptos_da9574d35b82.png,0.7557,bilateral_denoising; glare_attenuation,BORDERLINE,0.7103,-0.0454,True,"Dimension focus dropped below non-critical threshold (0.681 -> 0.306, delta=-0.375)",CRITICAL,RECAPTURE
aptos_daeaa5d8cf70,aptos_daeaa5d8cf70.png,0.6894,gamma_correction; glare_attenuation,BORDERLINE,0.6593,-0.0301,True,"Dimension brightness dropped below non-critical threshold (0.649 -> 0.330, delta=-0.319)",CRITICAL,RECAPTURE
aptos_de50dfa745f8,aptos_de50dfa745f8.png,0.7649,illumination_normalization; gamma_correction; unsharp_masking,NON-CRITICAL,0.8038,0.0389,False,None,NON-CRITICAL,OK TO GO
aptos_dea7538bb91a,aptos_dea7538bb91a.png,0.7514,gamma_correction,NON-CRITICAL,0.832,0.0806,False,None,NON-CRITICAL,OK TO GO
aptos_dee1031a76ae,aptos_dee1031a76ae.png,0.7306,illumination_normalization; gamma_correction,NON-CRITICAL,0.8514,0.1208,False,None,NON-CRITICAL,OK TO GO
aptos_df3adfd6ba36,aptos_df3adfd6ba36.png,0.775,illumination_normalization; gamma_correction; unsharp_masking,NON-CRITICAL,0.7988,0.0238,False,None,NON-CRITICAL,OK TO GO
aptos_e34fa07bd64d,aptos_e34fa07bd64d.png,0.8186,CLAHE,NON-CRITICAL,0.9239,0.1053,False,None,NON-CRITICAL,OK TO GO
aptos_e77a93c3d9a9,aptos_e77a93c3d9a9.png,0.7421,bilateral_denoising; glare_attenuation,BORDERLINE,0.7017,-0.0404,True,"Severe degradation in focus (0.723 -> 0.370, delta=-0.353)",CRITICAL,RECAPTURE
aptos_ea4dcb055139,aptos_ea4dcb055139.png,0.7428,illumination_normalization; gamma_correction; CLAHE; unsharp_masking,BORDERLINE,0.8533,0.1105,True,"Dimension noise dropped below non-critical threshold (1.000 -> 0.000, delta=-1.000)",CRITICAL,RECAPTURE
aptos_ecad6845f630,aptos_ecad6845f630.png,0.739,illumination_normalization,NON-CRITICAL,0.9261,0.1871,False,None,NON-CRITICAL,OK TO GO
